Player,Pos,Tm,2P,0-3,3-10,10-16,16-3P,3P,3Corner,G,FG%,Dist.
Precious Achiuwa,C,TOR,0.564,0.734,0.406,0.286,0.2,0.269,0.25,55,0.485,9.7
Steven Adams,C,MEM,0.599,0.645,0.5,0.4,,0,0,42,0.597,2.6
Bam Adebayo,C,MIA,0.545,0.714,0.479,0.497,0.288,0.083,,75,0.54,7.3
Ochai Agbaji,SG,UTA,0.532,0.621,0.494,0.4,0.444,0.355,0.457,59,0.427,16.9
Santi Aldama,PF,MEM,0.591,0.707,0.471,0.25,0.444,0.353,0.365,77,0.47,14.6
Nickeil Alexander-Walker,SG,TOT,0.515,0.634,0.443,0.385,0.571,0.384,0.386,59,0.444,16.9
Nickeil Alexander-Walker,SG,UTA,0.578,0.65,0.524,0.4,0.818,0.402,0.381,36,0.488,16.5
Nickeil Alexander-Walker,SG,MIN,0.415,0.619,0.263,0.333,0.3,0.361,0.391,23,0.384,17.4
Grayson Allen,SG,MIL,0.518,0.67,0.345,0.4,0,0.399,0.474,72,0.44,18.7
Jarrett Allen,C,CLE,0.653,0.765,0.516,0.511,0.294,0.1,0,68,0.644,4.4
Jose Alvarado,PG,NOP,0.488,0.67,0.395,0.36,0.143,0.336,0.38,61,0.411,15.6
Kyle Anderson,PF,MIN,0.536,0.648,0.512,0.465,0.143,0.41,0.468,69,0.509,9.9
Giannis Antetokounmpo,PF,MIL,0.596,0.791,0.354,0.353,0.355,0.275,0.25,63,0.553,8.1
Thanasis Antetokounmpo,PF,MIL,0.526,0.682,0.357,0,0,0,0,37,0.435,7.7
Cole Anthony,PG,ORL,0.5,0.632,0.447,0.522,0.425,0.364,0.353,60,0.454,14.7
O.G. Anunoby,SF,TOR,0.539,0.695,0.366,0.364,0.46,0.387,0.458,67,0.476,13.5
Ryan Arcidiacono,PG,TOT,0.071,0,0.143,0,0,0.348,0,20,0.243,20.2
Ryan Arcidiacono,PG,NYK,0,0,0,,,0.333,0,11,0.2,16.9
Ryan Arcidiacono,PG,POR,0.083,,0.167,0,0,0.35,,9,0.25,20.7
Deni Avdija,SF,WAS,0.53,0.714,0.395,0.227,0.333,0.297,0.339,76,0.437,13.3
Deandre Ayton,C,PHX,0.597,0.806,0.532,0.455,0.467,0.292,,67,0.589,7.7
Udoka Azubuike,C,UTA,0.819,0.956,0.593,,,,,36,0.819,2.7
Marvin Bagley III,C,DET,0.579,0.779,0.479,0.452,0.364,0.288,0.316,42,0.529,8.8
Patrick Baldwin Jr.,SF,GSW,0.44,0.875,0.333,0,0.5,0.381,0.278,31,0.394,21.4
LaMelo Ball,PG,CHA,0.45,0.598,0.316,0.443,0.395,0.376,0.385,36,0.411,17.7
Mo Bamba,C,TOT,0.59,0.74,0.24,0.5,0.286,0.387,0.357,49,0.485,15.1
Mo Bamba,C,ORL,0.594,0.739,0.273,0.5,0.286,0.398,0.385,40,0.495,14.9
Mo Bamba,C,LAL,0.545,0.75,0,,,0.313,0,9,0.407,16.1
Paolo Banchero,PF,ORL,0.471,0.658,0.38,0.41,0.352,0.298,0.343,72,0.427,12.4
Desmond Bane,SG,MEM,0.534,0.642,0.447,0.478,0.491,0.408,0.508,58,0.479,14.8
Dalano Banton,PG,TOR,0.506,0.806,0.348,0.2,0.1,0.294,0.25,31,0.423,14.3
Dominick Barlow,PF,SAS,0.561,0.711,0.409,0.25,0.667,0,0,28,0.535,5.5
Harrison Barnes,PF,SAC,0.553,0.713,0.407,0.429,0.333,0.374,0.395,82,0.473,13.6
Scottie Barnes,SF,TOR,0.505,0.685,0.45,0.296,0.361,0.281,0.316,77,0.456,10.7
RJ Barrett,SG,NYK,0.495,0.642,0.401,0.3,0.259,0.31,0.319,73,0.434,11.5
Will Barton,SG,TOT,0.391,0.581,0.3,0.324,0.4,0.367,0.515,56,0.379,17.6
Will Barton,SG,WAS,0.395,0.576,0.3,0.308,0.464,0.377,0.48,40,0.386,17.7
Will Barton,SG,TOR,0.378,0.6,0.3,0.375,0.143,0.333,0.625,16,0.354,17
Charles Bassey,C,SAS,0.661,0.757,0.556,0.462,0.5,0.375,0,35,0.644,5.3
Keita Bates-Diop,PF,SAS,0.557,0.696,0.44,0.364,0,0.394,0.377,67,0.508,10.4
Nicolas Batum,PF,LAC,0.563,0.694,0.533,0.333,0.143,0.391,0.435,78,0.42,21.6
Darius Bazley,C,TOT,0.485,0.598,0.281,0.385,0,0.377,0.474,43,0.454,9.9
Darius Bazley,C,OKC,0.469,0.554,0.28,0.455,0,0.4,0.471,36,0.449,9.8
Darius Bazley,C,PHX,0.588,1,0.286,0,,0.25,0.5,7,0.48,10.7
Bradley Beal,SG,WAS,0.552,0.786,0.462,0.472,0.479,0.365,0.364,50,0.506,12.9
Malik Beasley,SG,TOT,0.484,0.706,0.528,0.353,0.407,0.357,0.373,81,0.395,21
Malik Beasley,SG,UTA,0.485,0.632,0.511,0.404,0.452,0.359,0.356,55,0.396,21.1
Malik Beasley,SG,LAL,0.481,0.8,0.576,0.238,0.25,0.353,0.435,26,0.392,20.7
MarJon Beauchamp,SF,MIL,0.485,0.667,0.261,0.5,0.235,0.331,0.345,52,0.395,17.5
Davis Bertans,PF,DAL,0.737,0.769,0.5,1,1,0.39,0.452,45,0.431,23.4
Patrick Beverley,SG-PG,TOT,0.529,0.636,0.446,0.5,0.75,0.335,0.35,67,0.4,18.7
Patrick Beverley,SG,LAL,0.506,0.64,0.438,0.429,0.667,0.348,0.412,45,0.402,18.6
Patrick Beverley,PG,CHI,0.579,0.632,0.471,1,1,0.309,0.241,22,0.395,18.9
Saddiq Bey,SF,TOT,0.483,0.643,0.399,0.286,0.268,0.361,0.407,77,0.422,15.6
Saddiq Bey,SF,DET,0.46,0.626,0.402,0.243,0.29,0.345,0.424,52,0.404,15.9
Saddiq Bey,SF,ATL,0.552,0.678,0.385,0.6,0.2,0.4,0.383,25,0.47,14.8
Khem Birch,C,TOR,0.6,0.833,0.467,0.5,0,0.5,0.5,20,0.594,6.5
Goga Bitadze,C,TOT,0.636,0.758,0.471,0,0,0.231,0,38,0.552,7.8
Goga Bitadze,C,IND,0.605,0.731,0.444,0,0,0.286,,21,0.519,9.5
Goga Bitadze,C,ORL,0.656,0.778,0.48,,,0.167,0,17,0.575,6.6
Bismack Biyombo,C,PHX,0.578,0.814,0.406,0.421,,,,61,0.578,4.4
Buddy Boeheim,SF,DET,0.5,,1,0,,0.16,0.273,10,0.185,24
Bogdan Bogdanovic,SG,ATL,0.506,0.642,0.567,0.475,0.345,0.406,0.392,54,0.447,18.8
Bojan Bogdanovic,PF,DET,0.539,0.685,0.487,0.537,0.406,0.411,0.419,59,0.488,15.2
Bol Bol,PF,ORL,0.633,0.871,0.492,0.471,0.303,0.265,0.185,70,0.546,10.7
Leandro Bolmaro,SF,UTA,0.188,0.2,0.143,0.5,0,0,,14,0.15,11
Devin Booker,SG,PHX,0.554,0.717,0.491,0.555,0.464,0.351,0.362,53,0.494,14.5
Brandon Boston Jr.,SF,LAC,0.419,0.724,0.154,0.4,0.333,0.414,0.2,22,0.418,12.6
Chris Boucher,PF,TOR,0.585,0.651,0.46,0.421,0.583,0.328,0.359,76,0.493,11.1
James Bouknight,SG,CHA,0.429,0.594,0.259,0.313,0.556,0.303,0.353,34,0.358,17.9
Jamaree Bouyea,PG,TOT,0.5,1,0.4,,0,0.333,,5,0.429,14.6
